action	status	kind	source	destination	bytes	reason
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M01-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M01-Y2022-20378629	6490717	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M01-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M01-Y2023-20378629	6484774	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M02-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M02-Y2021-20378614	6435857	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M02-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M02-Y2022-20378629	6490709	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M02-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M02-Y2023-20378629	6484836	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M03-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M03-Y2021-20378614	6435855	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M03-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M03-Y2022-20378629	6490709	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M03-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M03-Y2023-20378629	6484836	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M04-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M04-Y2021-20378614	6435856	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M04-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M04-Y2022-20378629	6490707	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M04-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M04-Y2023-20378629	6484839	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M05-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M05-Y2021-20378614	6435855	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M05-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M05-Y2022-20378629	6490709	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M05-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M05-Y2023-20378629	6484836	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M06-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M06-Y2021-20378614	6435856	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M06-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M06-Y2022-20378629	6490711	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M06-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M06-Y2023-20378629	6484837	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M07-Y2021-20378614	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M07-Y2021-20378614	6435860	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M07-Y2022-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M07-Y2022-20378629	6490709	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S0-10K-M07-Y2023-20378629	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S0-10K-M07-Y2023-20378629	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M00-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M00-Y2022-20378630	6490709	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M00-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M00-Y2023-20378630	6484840	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M01-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M01-Y2022-20378630	6490719	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M01-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M01-Y2023-20378630	6484776	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M02-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M02-Y2022-20378630	6490711	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M02-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M02-Y2023-20378630	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M03-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M03-Y2022-20378630	6490711	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M03-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M03-Y2023-20378630	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M04-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M04-Y2022-20378630	6490709	out-of-scope-t5
